Program Name,Club
Club Attendance,Anderson
Club Attendance,Catlin
Club Attendance,Grossman
Club Attendance,Jefferson
Club Attendance,Johnston
Club Attendance,Marley
Club Attendance,Morton
Club Attendance,Notter
Club Attendance,Stelle
Arts and Crafts,Anderson
Arts and Crafts,Catlin
Arts and Crafts,Grossman
Arts and Crafts,Jefferson
Arts and Crafts,Johnston
Arts and Crafts,Marley
Arts and Crafts,Morton
Arts and Crafts,Notter
Arts and Crafts,Stelle
Archery,Anderson
Basketball,Anderson
Basketball,Catlin
Basketball,Grossman
Basketball,Jefferson
Basketball,Johnston
Basketball,Marley
Basketball,Morton
Basketball,Notter
Homework Help,Anderson
Homework Help,Catlin
Homework Help,Grossman
Homework Help,Jefferson
Homework Help,Johnston
Homework Help,Marley
Homework Help,Morton
Homework Help,Notter
Music,Grossman
Music,Jefferson
Music,Johnston
Music,Marley
Soccer,Grossman
Soccer,Jefferson
Soccer,Johnston
Soccer,Marley
